ax,ay,az
-0.071289,-0.012451,1.017822
-0.066406,-0.009521,1.014404
-0.070801,-0.01123,0.986328
-0.067383,-0.014404,1.013916
-0.066406,-0.008789,1.005859
-0.051025,-0.01123,1.000488
-0.393066,-0.022217,0.859619
-0.081787,0.01416,1.025146
-0.063232,-0.013428,1.02002
0.215332,-0.390869,1.999939
-0.113525,0.01416,1.055176
-0.030029,0.000244,1.008789
-0.061035,-0.013916,1.009033
-0.111328,-0.010986,0.980225
-0.079346,-0.023682,0.999268
-0.080811,-0.008301,1.037354
-0.062256,-0.016602,0.999268
-0.071045,-0.01001,1.010986
-0.068848,-0.007324,0.980469
-0.064697,-0.005127,0.998779
-0.057617,-0.011719,0.991211
-0.247314,-0.143066,0.740723
-0.000488,-0.067139,1.009521
0.223877,0.002197,1.159668
-0.125732,0.011475,1.063721
0.015137,0.003662,0.970459
-0.050049,-0.012695,1.015381
-0.057861,-0.009033,1.005859
-0.054443,-0.016357,1.00415
-0.060791,-0.015625,1.006592
-0.060059,-0.008545,1.008789
-0.068115,-0.002686,0.99585
0.031738,-0.024414,0.810791
-0.150146,-0.004883,1.039307
-0.10083,-0.002686,1.020752
-0.041992,-0.064453,1.009766
-0.128174,-0.018799,0.9729
-0.015137,-0.071289,1.013184
-0.014648,-0.036377,1.010254
-0.018799,0.006836,1.01123
-0.033447,0.016846,1.004883
-0.045654,-0.003906,1.012695
-0.040771,0.04248,1.018555
-0.047119,0.000244,0.996826
-0.146484,-0.001709,0.995605
-0.072754,0.079102,1.025146
-0.193115,-0.154785,0.879639
-0.101563,0.03833,1.104492
-0.036865,0.032471,1.075928
-0.080322,-0.017334,1.015137
-0.056152,-0.026123,1.008057
-0.068359,-0.011719,0.994141
-0.069092,-0.009521,1.002686
-0.06543,-0.005859,0.999268
-0.0625,-0.006104,0.996582
-0.075439,-0.02002,0.974121
-0.070312,0.008545,1.014404
-0.064941,-0.014648,0.988281
-0.052246,0.066162,1.100098
-0.287354,0.077148,0.880371
0.172852,-0.135498,0.774902
-0.122559,0.015381,1.065186
-0.072266,-0.011475,1.019287
-0.049072,-0.012695,1.000488
-0.035156,-0.021484,0.983154
-0.080811,-0.02002,1.012695
-0.056641,-0.052979,1.007813
-0.037354,-0.01709,0.86792
-0.078369,-0.016113,1.022705
-0.08252,0.00293,1.031982
0.997559,-0.150879,1.999939
-0.145264,-0.246094,0.348389
-0.284912,-0.017334,0.955322
0.093506,-0.025635,1.151611
0.048096,-0.115234,0.945557
-0.120605,0.032959,1.108398
-0.054687,-0.019775,1.027588
-0.057129,-0.009521,1.014648
-0.058594,-0.018066,1.031494
-0.054199,-0.010254,1.006348
-0.064697,-0.018799,1.037598
-0.021973,-0.051758,0.986816
-0.242676,0.464355,1.075195
-0.430176,-0.143066,1.038086
0.237061,0.215088,1.020996
0.12085,0.007813,1.001953
-0.078125,-0.020752,0.994873
-0.051758,0.02124,0.99707
0.097168,-0.043213,1.009766
-0.148926,0.050781,1.017578
-0.152588,0.01123,1.008545
-0.300537,-0.042725,0.977539
-0.282227,-0.066895,0.993408
0.280029,0.022461,1.020264
-0.002686,-0.028564,1.007324
0.387695,0.13501,1.054443
0.313721,0.075928,1.023438
-0.860107,-0.171387,0.948486
-0.2229,0.037354,0.969482
-0.606934,-0.185791,0.999512
-0.188232,-0.028809,0.987793
1.122559,0.353516,1.098877
0.075195,-0.000488,1.033691
0.787598,0.310059,1.055176
-0.075195,0.136475,0.9646
-1.344971,-0.503906,0.903809
-0.794922,-0.136963,1.017822
-0.049072,-0.025146,1.008057
-0.031006,-0.025391,0.90918
-0.041504,-0.020752,0.997314
-0.209473,-0.005615,1.205078
-0.23999,-0.0625,1.026367
-0.135986,-0.012939,1.145752
-0.050537,0.009277,1.063477
-0.275635,0.046631,1.003662
-0.008301,-0.005615,1.015869
-0.064453,-0.005371,1.004883
-0.348389,-0.017822,0.969971
-0.053711,0.021729,1.036865
-0.018555,0.19165,1.274414
-0.030762,0.026367,1.05542
0.12085,0.065186,1.132813
0.034912,-0.071777,0.96167
-0.114746,-0.008545,0.942383
-0.186279,-0.01416,0.989014
-0.015869,0.004883,1.014404
-0.050293,0.041504,1.024414
-0.123291,0.018311,1.006836
-0.063232,-0.013184,0.997803
-0.060547,-0.007813,1.003418
-0.022217,-0.010498,0.992676
-0.065186,-0.029297,1.0271
-0.08667,0.003174,0.896973
-0.083252,0.003906,0.973389
-0.126709,0.025146,1.001221
-0.058838,0.005615,1.022705
-0.01416,-0.0354,0.939697
-0.093994,-0.021484,0.990723
-0.172119,-0.07373,0.850342
-0.158447,-0.03125,1.030518
-0.106445,-0.024902,0.958496
0.012451,-0.012207,0.382568
0.054932,-0.088379,0.841309
-0.049072,-0.010986,1.015869
-0.042969,-0.015381,1.006104
-0.038086,-0.018799,1.007568
-0.051758,-0.018066,1.005127
-0.045166,-0.015625,1.00415
-0.018311,-0.077637,1.373535
-0.039551,-0.006836,0.94873
-0.045898,0.006836,1.013916
-0.051025,0.002441,1.019287
-0.023193,-0.024902,0.979248
-0.04834,-0.012451,1.004883
-0.040039,-0.014648,1.008789
